Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_sgd
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon 530,Windows 10,2.2,1256.0
Dell,Latitude 5590,Ultrabook,15.6,1920x1080,Intel Core i7,8,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows 10,1.88,2037.86
HP,ProBook 470,Notebook,17.3,1920x1080,Intel Core i5,8,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5,1406.72
Chuwi,"LapBook 15.6""",Notebook,15.6,1920x1080,Intel Others,4,64GB Flash Storage,Intel HD Graphics,Windows 10,1.89,384.63
Asus,E402WA-GA010T,Notebook,14.0,1366x768,AMD,2,32GB Flash Storage,AMD Radeon R2,Windows 10,1.65,312.43
HP,17-ak001nv,Notebook,17.3,1920x1080,AMD,4,500GB HDD,AMD Radeon 530,Windows 10,2.71,689.23
Dell,XPS 13,Ultrabook,13.3,3200x1800,Intel Core i7,16,512GB SSD,Intel UHD Graphics 620,Windows 10,1.2,2934.33
Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5,8,256GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35,1566.86
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel Others,4,64GB Flash Storage,Intel HD Graphics 500,Windows 10,1.44,390.93
Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD Graphics 620,Linux,2.1,576.19
Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8,1537.03
HP,250 G6,Notebook,15.6,1366x768,Intel Core i5,4,1TB HDD,Intel HD Graphics 620,Windows 10,1.86,767.24
HP,ProBook 450,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce 930MX ,Windows 10,2.1,1380.03
Asus,X540UA-DM186,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Intel HD Graphics 620,Linux,2.0,610.73
Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65,2353.43
Asus,X542UQ-GO005,Notebook,15.6,1366x768,Intel Core i5,8,1TB HDD,Nvidia GeForce 940MX,Linux,2.3,821.09
Acer,Aspire A515-51G,Notebook,15.6,1920x1080,Intel Core i5,4,256GB SSD,Intel UHD Graphics 620,Windows 10,2.2,1070.74
Dell,Inspiron 7773,2 in 1 Convertible,17.3,1920x1080,Intel Core i5,12,1TB HDD,Nvidia GeForce 150MX,Windows 10,2.77,1568.43
Apple,MacBook Pro,Ultrabook,13.3,2560x1600,Intel Core i5,8,256GB SSD,Intel Iris Graphics 540,macOS,1.37,2227.83
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD Graphics 520,No OS,2.2,579.33
Asus,Rog Strix,Gaming,17.3,1920x1080,AMD,8,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.2,2039.43
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i5,4,256GB SSD,AMD Radeon R5 M430,Windows 10,2.3,1003.23
Asus,X751NV-TY001T,Notebook,17.3,1366x768,Intel Others,4,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.8,731.62
Lenovo,Yoga Book,2 in 1 Convertible,10.1,1920x1200,Intel Others,4,64GB Flash Storage,Intel HD Graphics 400,Android,0.69,500.83
Acer,Aspire A515-51G,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce MX150,Windows 10,2.2,1320.37
HP,255 G6,Notebook,15.6,1920x1080,AMD,4,256GB SSD,AMD Radeon R4 Graphics,Windows 10,1.86,625.63
HP,ProBook 430,Notebook,13.3,1920x1080,Intel Core i7,8,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49,1731.71
Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD Graphics 620,Windows 10,2.4,602.88
Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon 520,Windows 10,2.13,1205.45
HP,15-bs002nv,Notebook,15.6,1920x1080,Intel Core i3,4,128GB SSD,Intel HD Graphics 520,Windows 10,1.91,689.23
Asus,VivoBook Max,Notebook,15.6,1366x768,Intel Core i5,4,256GB SSD,Intel HD Graphics 620,Windows 10,2.0,920.32
MSI,GS73VR 7RG,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.43,3844.93
Asus,X541UA-DM1897,Notebook,15.6,1920x1080,Intel Core i3,4,256GB SSD,Intel HD Graphics 520,Linux,2.0,651.55
Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.8,2039.43
Dell,Vostro 5471,Ultrabook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.7,1380.03
Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,1920x1080,Intel Core i3,8,256GB SSD,Intel HD Graphics 620,No OS,1.7,940.43
Asus,UX410UA-GV350T,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.4,1477.37
HP,250 G6,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.86,1083.3
Asus,ZenBook Pro,Ultrabook,15.6,1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8,3113.31
HP,250 G6,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,AMD Radeon 520,Windows 10,1.86,688.74
HP,Stream 14-AX040wm,Notebook,14.0,1366x768,Intel Others,4,32GB SSD,Intel HD Graphics 400,Windows 10,1.44,359.53
Lenovo,V310-15ISK,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,Intel HD Graphics 620,Windows 10,1.9,861.93
Asus,FX753VE-GC093,Gaming,17.3,1920x1080,Intel Core i7,12,1TB HDD,Nvidia GeForce GTX 1050 Ti,Linux,3.0,1489.93
Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel Core i5,4,128GB SSD,Intel HD Graphics 620,Windows 10 S,1.252,1709.73
Dell,Inspiron 5370,Ultrabook,13.3,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon 530,Windows 10,1.4,1499.35
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon 530,Windows 10,2.2,1365.9
MSI,GL72M 7RDX,Gaming,17.3,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.7,1719.15
Acer,Aspire E5-475,Notebook,14.0,1366x768,Intel Core i3,8,1TB HDD,Intel HD Graphics 520,Windows 10,2.1,610.73
Asus,FX503VD-E4022T,Gaming,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.2,1489.93
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel Core i5,8,2TB HDD,Intel HD Graphics 620,No OS,2.2,814.83
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows 10,2.02,1342.35
Acer,Aspire A515-51G-32MX,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Nvidia GeForce MX130,Windows 10,2.2,832.1
HP,ProBook 470,Notebook,17.3,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5,1533.89
Dell,Latitude 5590,Ultrabook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.88,1720.97
Apple,"MacBook 12""",Ultrabook,12.0,2304x1440,Intel Core i5,8,512GB SSD,Intel HD Graphics 615,macOS,0.92,2370.7
HP,ProBook 440,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.63,1350.2
Lenovo,IdeaPad 320-15AST,Notebook,15.6,1920x1080,AMD,4,128GB SSD,AMD R4 Graphics,Windows 10,2.2,626.43
Acer,Aspire 3,Notebook,15.6,1366x768,AMD,4,1TB HDD,AMD Radeon R5,Windows 10,2.1,620.15
Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,2117.93
HP,Pavilion 15-CK000nv,Ultrabook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce GTX 940MX,Windows 10,1.83,1097.43
HP,250 G6,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.96,940.41
Asus,FX503VM-E4007T,Gaming,15.6,1920x1080,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.2,2274.93
Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21,2588.93
Asus,FX550IK-DM018T,Gaming,15.6,1920x1080,AMD,8,1TB HDD,AMD Radeon RX 560,Windows 10,2.45,1097.43
Acer,Aspire 5,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce MX150,Windows 10,2.2,1081.73
HP,Probook 430,Notebook,13.3,1920x1080,Intel Core i7,16,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49,1879.29
Dell,Inspiron 7577,Gaming,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce GTX 1060,Windows 10,2.65,1876.15
Asus,Zenbook UX430UA,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.25,1646.93
Acer,Spin 5,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.5,1329.79
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,AMD Radeon R5 M430,Linux,2.2,941.84
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i3,4,256GB SSD,AMD Radeon R5 M430,Linux,2.2,761.45
Asus,X541UV-DM1439T,Notebook,15.6,1920x1080,Intel Core i3,6,256GB SSD,Nvidia GeForce 920M,Windows 10,2.0,905.89
HP,Omen 15-ce007nv,Gaming,15.6,1920x1080,Intel Core i7,12,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.62,1960.93
HP,15-bs017nv,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon 530,Windows 10,1.91,1128.83
HP,15-bw000nv,Notebook,15.6,1920x1080,AMD,4,500GB HDD,AMD Radeon R2,Windows 10,2.1,547.93
Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,AMD Radeon 520,Linux,2.2,1015.79
HP,Envy 13-ad009n,Ultrabook,13.3,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce MX150,Windows 10,1.38,1756.83
Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10 S,1.252,2103.8
HP,Pavilion 14-BK001nv,Notebook,14.0,1920x1080,Intel Core i5,6,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.58,1034.63
Lenovo,Ideapad 310-15ISK,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Intel HD Graphics 520,Windows 10,1.85,651.39
Asus,UX430UQ-GV209R,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.3,1873.01
MSI,GP62M 7REX,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,2039.43
Lenovo,Thinkpad T470,Notebook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.58,2323.6
Asus,VivoBook S15,Ultrabook,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce MX150,Windows 10,1.5,1981.34
Dell,XPS 13,Ultrabook,13.3,3200x1800,Intel Core i7,8,256GB SSD,Intel Iris Plus Graphics 640,Windows 10,1.23,2165.03
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.37,2196.43
HP,Probook 440,Notebook,14.0,l1366x768,Intel Core i5,4,500GB HDD,Intel UHD Graphics 620,Windows 10,1.63,1133.54
Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21,2557.53
HP,Spectre x360,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.26,2196.41
HP,Probook 440,Notebook,14.0,1920x1080,Intel Core i7,8,512GB SSD,Intel UHD Graphics 620,Windows 10,1.63,1701.88
Dell,Inspiron 7570,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.16,1774.62
Asus,X705UV-BX074T,Notebook,17.3,1920x1080,Intel Core i3,4,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.0,885.48
Asus,VivoBook S15,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.7,1755.26
Acer,Spin 3,Notebook,15.6,1920x1080,Intel Core i3,6,1TB HDD,Intel HD Graphics 620,Windows 10,2.1,752.03
MSI,GS63VR 7RG,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows 10,1.8,3519.16
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce 940MX,No OS,2.2,987.53
HP,Probook 470,Notebook,17.3,1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce 930MX ,Windows 10,2.5,1995.47
Acer,Aspire 3,Notebook,15.6,1366x768,AMD,4,256GB SSD,AMD Radeon R5,Windows 10,2.1,708.07
HP,250 G6,Notebook,15.6,1366x768,Intel Others,4,500GB HDD,Intel HD Graphics 400,No OS,1.86,406.63
HP,Probook 440,Notebook,14.0,1920x1080,Intel Core i5,8,1TB HDD,Intel UHD Graphics 620,Windows 10,1.63,1274.84
Asus,E402WA-GA007T,Notebook,14.0,1366x768,AMD,4,64GB SSD,AMD Radeon R2,Windows 10 S,1.65,436.44
Dell,Inspiron 5770,Notebook,17.3,1920x1080,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.8,2191.72
HP,ProBook 470,Notebook,17.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD Graphics 620,Windows 10,2.5,1456.96
Dell,Inspiron 5567,Notebook,15.6,1366x768,Intel Core i5,8,1TB HDD,AMD Radeon R7 M445,Windows 10,2.36,1003.21
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,AMD Radeon R5 M430,Windows 10,2.2,704.93
Acer,Swift 3,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6,1387.88
Acer,Aspire A515-51G-37JS,Notebook,15.6,1920x1080,Intel Core i3,4,256GB SSD,Nvidia GeForce MX130,Windows 10,2.2,898.04
HP,15-BS078nr,Notebook,15.6,1366x768,Intel Core i7,8,1TB HDD,Intel HD Graphics 620,Windows 10,2.05,938.86
HP,Probook 440,Notebook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.63,1551.16
Lenovo,V110-15IAP,Notebook,15.6,1366x768,Intel Others,4,1TB HDD,Intel HD Graphics 500,No OS,1.9,396.21
Asus,FX753VD-GC086T,Gaming,17.3,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3.0,1472.66
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,Nvidia GeForce 920MX,No OS,2.2,783.43
HP,Envy 13-AD007nv,Notebook,13.3,1920x1080,Intel Core i5,4,256GB SSD,Intel HD Graphics 620,Windows 10,1.32,1097.43
Acer,Aspire 5,Notebook,17.3,1920x1080,Intel Core i3,4,1TB HDD,Nvidia GeForce MX130,Windows 10,3.0,1028.35
Lenovo,ThinkPad E480,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon RX 550,Windows 10,1.75,1752.15
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce GTX 1050M,No OS,2.4,1364.33
Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD Graphics 520,Windows 10,2.1,945.14
HP,255 G6,Notebook,15.6,1366x768,AMD,4,256GB SSD,AMD Radeon R4 Graphics,Windows 10,1.86,579.33
Asus,ZenBook UX430UA,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.25,1725.43
HP,EliteBook Folio,Ultrabook,12.5,3840x2160,Intel Others,8,512GB SSD,Intel HD Graphics 515,Windows 10,0.97,3161.98
Asus,X541NA,Notebook,15.6,1920x1080,Intel Others,4,1TB HDD,Intel HD Graphics 500,Windows 10,2.0,540.08
MSI,GE72MVR 7RG,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.9,3185.53
Acer,Aspire A315-51,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD Graphics 520,Windows 10,2.1,701.79
Dell,Inspiron 5577,Gaming,15.6,1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.56,1961.34
Dell,Inspiron 7567,Gaming,15.6,1920x1080,Intel Core i7,8,1.0TB Hybrid,Nvidia GeForce GTX 1050,Windows 10,2.62,1411.43
Lenovo,V110-15IKB,Notebook,15.6,1366x768,Intel Core i5,4,128GB SSD,Intel HD Graphics 620,Windows 10,1.9,781.86
MSI,GE73VR 7RE,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.8,2967.3
HP,EliteBook 840,Ultrabook,14.0,1920x1080,Intel Core i5,4,256GB SSD,Intel HD Graphics 620,Windows 10,1.48,1698.74
HP,15-BS103nv,Notebook,15.6,1920x1080,Intel Core i5,6,256GB SSD,AMD Radeon 520,Windows 10,1.91,971.83
Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,1920x1080,Intel Core i3,4,256GB SSD,Intel HD Graphics 620,Windows 10,1.74,987.53
Asus,ZenBook Flip,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.1,2064.55
Dell,Inspiron 5579,2 in 1 Convertible,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.56,1646.93
Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD Graphics 520,Windows 10,2.1,701.79
Asus,X555BP-XX180T,Notebook,15.6,1366x768,AMD,4,1TB HDD,AMD Radeon R5 M420,Windows 10,2.03,632.71
Acer,Aspire A517-51G,Notebook,17.3,1920x1080,Intel Core i5,4,256GB SSD,Nvidia GeForce MX150,Windows 10,3.0,1263.85
Dell,Inspiron 3576,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon 520,Windows 10,2.13,1142.96
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,1694.03
Acer,Aspire A315-31,Notebook,15.6,1366x768,Intel Others,4,1TB HDD,Intel HD Graphics 500,Windows 10,2.1,546.36
MSI,GE63VR 7RE,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.4,2824.43
Acer,Aspire 3,Notebook,15.6,1366x768,Intel Others,4,1TB HDD,Intel HD Graphics 505,Windows 10,2.1,570.71
Dell,Inspiron 5577,Gaming,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.56,1664.97
Acer,Aspire A517-51G,Notebook,17.3,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce MX150,Windows 10,3.0,1340.78
HP,ProBook 430,Notebook,13.3,1920x1080,Intel Core i5,4,500GB HDD,Intel UHD Graphics 620,Windows 10,1.49,1183.78
Huawei,MateBook X,Ultrabook,13.0,2160x1440,Intel Core i5,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.05,2117.93
HP,17-bs001nv,Notebook,17.3,1920x1080,Intel Core i5,6,2TB HDD,AMD Radeon 520,Windows 10,2.71,1097.43
Lenovo,IdeaPad 320-15AST,Notebook,15.6,1366x768,AMD,4,500GB HDD,AMD Radeon R4 Graphics,No OS,2.2,485.13
Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,Intel HD Graphics 620,Windows 10,2.0,767.73
HP,ProBook 470,Notebook,17.3,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce 930MX,Windows 10,2.5,1449.11
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3,8,1TB HDD,Intel HD Graphics 620,Windows 10,2.3,720.63
Acer,Aspire A315-51,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD Graphics 520,Windows 10,2.1,704.93
MSI,GT80S 6QF-074US,Gaming,18.4,1920x1080,Intel Core i7,32,512GB SSD +  1TB HDD,Nvidia GTX 980 SLI,Windows 10,4.4,4394.43
Lenovo,V310-15IKB,Notebook,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,AMD R17M-M1-70,Windows 10,1.9,1276.41
HP,Spectre x360,2 in 1 Convertible,13.3,3840x2160,Intel Core i5,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.29,2353.43
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon 530,Linux,2.02,1646.93
Dell,XPS 13,Ultrabook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.23,2196.43
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,3840x2160,Intel Core i7,16,512GB SSD,Intel UHD Graphics 620,Windows 10,1.4,2902.93
Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i5,8,128GB SSD,Intel HD Graphics 620,Windows 10,2.0,1245.01
Xiaomi,Mi Notebook,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce MX150,No OS,1.95,1882.43
Dell,Inspiron 7773,Notebook,17.3,1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce 150MX,Windows 10,2.77,2431.93
Dell,XPS 15,Notebook,15.6,3840x2160,Intel Core i7,16,512GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.06,3763.29
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce GTX 1050,No OS,2.4,1223.03
